City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,8.85,53,75,1.03,CA,1722626889
1,blackmans bay,-43.0167,147.3167,8.74,72,100,0.45,AU,1722626820
2,pekan,3.4836,103.3996,25.06,91,100,1.49,MY,1722627153
3,cockburn town,21.4612,-71.1419,28.36,81,46,9.0,TC,1722627154
4,taunsa,30.7048,70.6505,33.88,51,14,2.38,PK,1722627155
5,qaqortoq,60.7167,-46.0333,8.89,69,0,3.45,GL,1722626879
6,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1722627157
7,rockland,41.1668,-74.0496,32.66,71,100,1.52,US,1722627158
8,praia da vitoria,38.7333,-27.0667,26.14,69,20,2.6,PT,1722627159
9,dodge city,37.7528,-100.0171,33.71,40,0,6.17,US,1722627160
10,edinburgh of the seven seas,-37.0676,-12.3116,9.5,56,90,15.39,SH,1722626717
11,nanao,37.05,136.9667,26.29,88,7,1.63,JP,1722627163
12,maintirano,-18.0667,44.0167,22.17,69,0,3.18,MG,1722627114
13,hastings,50.8552,0.5729,21.66,88,82,7.13,GB,1722627086
14,albany,42.6001,-73.9662,29.4,77,100,1.87,US,1722626435
15,khandyga,62.6667,135.6,4.63,82,7,0.49,RU,1722626846
16,ancud,-41.8697,-73.8203,8.97,88,100,9.81,CL,1722627168
17,adamstown,-25.066,-130.1015,20.26,81,97,3.67,PN,1722626827
18,olonkinbyen,70.9221,-8.7187,5.95,92,100,5.49,SJ,1722626911
19,vilyuchinsk,52.9306,158.4028,16.15,82,100,3.79,RU,1722626954
20,port saint john's,-31.6229,29.5448,17.2,79,93,1.71,ZA,1722627173
21,kailua-kona,19.6406,-155.9956,28.49,69,0,3.09,US,1722626931
22,madang,-5.2246,145.7966,24.16,92,83,2.8,PG,1722627175
23,ushuaia,-54.8,-68.3,2.81,87,100,4.12,AR,1722626826
24,zyryanovsk,49.7386,84.2719,16.74,78,84,0.69,KZ,1722627177
25,bilibino,68.0546,166.4372,6.23,64,100,1.82,RU,1722626848
26,port-aux-francais,-49.35,70.2167,1.9,81,99,14.88,TF,1722626854
27,tiksi,71.6872,128.8694,6.55,63,100,1.66,RU,1722627019
28,kiunga,-6.1219,141.2906,22.62,98,99,1.73,PG,1722627182
29,bethel,41.3712,-73.414,31.68,75,20,2.57,US,1722626822
30,zeribet el oued,34.6828,6.5111,40.01,12,75,6.58,DZ,1722627184
31,cabo san lucas,22.8909,-109.9124,35.61,62,62,3.57,MX,1722627185
32,sierra grande,-41.606,-65.3557,18.11,22,100,9.29,AR,1722627186
33,gulf shores,30.246,-87.7008,35.63,67,20,4.63,US,1722627187
34,grytviken,-54.2811,-36.5092,2.21,90,99,6.31,GS,1722626864
35,vorgashor,67.5833,63.95,15.67,76,13,5.93,RU,1722627051
